player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action,landing_dx,time_to_land,ball_speed_abs
1P,69,50,220,10,7,65,65,1,1,0,55.0,10,7,65,10.0,7.0,70.0,MOVE_LEFT,-10.0,0.4666666666666667,12.206555615733702
2P,69,50,220,10,7,65,65,1,0,0,55.0,10,7,65,10.0,7.0,60.0,MOVE_RIGHT,-10.0,0.4666666666666667,12.206555615733702
1P,70,60,227,10,7,60,70,1,1,5,55.0,10,7,60,10.0,7.0,65.0,NONE,-5.0,0.45,12.206555615733702
2P,70,60,227,10,7,70,60,1,0,5,55.0,10,7,70,10.0,7.0,65.0,MOVE_RIGHT,-15.0,0.45,12.206555615733702
1P,71,70,234,10,7,60,75,1,1,10,55.0,10,7,60,10.0,7.0,60.0,MOVE_RIGHT,-5.0,0.43333333333333335,12.206555615733702
2P,71,70,234,10,7,75,60,1,0,10,55.0,10,7,75,10.0,7.0,70.0,MOVE_RIGHT,-20.0,0.43333333333333335,12.206555615733702
1P,72,80,241,10,7,65,80,1,1,15,55.0,10,7,65,10.0,7.0,60.0,MOVE_RIGHT,-10.0,0.4166666666666667,12.206555615733702
2P,72,80,241,10,7,80,65,1,0,15,55.0,10,7,80,10.0,7.0,75.0,MOVE_RIGHT,-25.0,0.4166666666666667,12.206555615733702
1P,73,90,248,10,7,70,85,1,1,20,55.0,10,7,70,10.0,7.0,65.0,MOVE_RIGHT,-15.0,0.4,12.206555615733702
2P,73,90,248,10,7,85,70,1,0,20,55.0,10,7,85,10.0,7.0,80.0,MOVE_RIGHT,-30.0,0.4,12.206555615733702
1P,74,100,255,10,7,75,90,1,1,25,55.0,10,7,75,10.0,7.0,70.0,MOVE_RIGHT,-20.0,0.38333333333333336,12.206555615733702
2P,74,100,255,10,7,90,75,1,0,25,55.0,10,7,90,10.0,7.0,85.0,MOVE_RIGHT,-35.0,0.38333333333333336,12.206555615733702
1P,75,110,262,10,7,80,95,1,1,30,55.0,10,7,80,10.0,7.0,75.0,MOVE_RIGHT,-25.0,0.36666666666666664,12.206555615733702
2P,75,110,262,10,7,95,80,1,0,30,55.0,10,7,95,10.0,7.0,90.0,MOVE_RIGHT,-40.0,0.36666666666666664,12.206555615733702
1P,76,120,269,10,7,85,100,1,1,35,55.0,10,7,85,10.0,7.0,80.0,MOVE_RIGHT,-30.0,0.35,12.206555615733702
2P,76,120,269,10,7,100,85,1,0,35,55.0,10,7,100,10.0,7.0,95.0,MOVE_RIGHT,-45.0,0.35,12.206555615733702
1P,77,130,276,10,7,90,105,1,1,40,55.0,10,7,90,10.0,7.0,85.0,MOVE_LEFT,-35.0,0.3333333333333333,12.206555615733702
2P,77,130,276,10,7,105,90,1,0,40,55.0,10,7,105,10.0,7.0,100.0,MOVE_RIGHT,-50.0,0.3333333333333333,12.206555615733702
1P,78,140,283,10,7,85,110,1,1,45,55.0,10,7,85,10.0,7.0,90.0,MOVE_RIGHT,-30.0,0.31666666666666665,12.206555615733702
2P,78,140,283,10,7,110,85,1,0,45,55.0,10,7,110,10.0,7.0,105.0,NONE,-55.0,0.31666666666666665,12.206555615733702
