player,frame,ball_x,ball_y,ball_vx,ball_vy,self_px,opp_px,ball_served,serving_is_self,blocker_x,pred_landing_x,prev1_ball_vx,prev1_ball_vy,prev1_self_px,prev2_ball_vx,prev2_ball_vy,prev2_self_px,action
1P,11,25,150,-7,7,50,30,1,0,50,181.0,-7,7,50,-7,7,55,MOVE_LEFT
2P,11,25,150,-7,7,30,50,1,1,50,181.0,-7,7,30,-7,7,35,MOVE_LEFT
1P,12,18,157,-7,7,45,25,1,0,55,181.0,-7,7,45,-7,7,50,MOVE_LEFT
2P,12,18,157,-7,7,25,45,1,1,55,181.0,-7,7,25,-7,7,30,MOVE_LEFT
1P,13,11,164,-7,7,40,20,1,0,60,181.0,-7,7,40,-7,7,45,MOVE_RIGHT
2P,13,11,164,-7,7,20,40,1,1,60,181.0,-7,7,20,-7,7,25,MOVE_LEFT
1P,14,4,171,-7,7,45,15,1,0,65,131.0,-7,7,45,-7,7,40,MOVE_LEFT
2P,14,4,171,-7,7,15,45,1,1,65,131.0,-7,7,15,-7,7,20,MOVE_LEFT
1P,15,0,178,7,7,40,10,1,0,70,117.0,7,7,40,-7,7,45,MOVE_LEFT
2P,15,0,178,7,7,10,40,1,1,70,117.0,7,7,10,-7,7,15,MOVE_RIGHT
1P,16,7,185,7,7,35,15,1,0,75,103.0,7,7,35,7,7,40,MOVE_LEFT
2P,16,7,185,7,7,15,35,1,1,75,103.0,7,7,15,7,7,10,MOVE_RIGHT
1P,17,14,192,7,7,30,20,1,0,80,153.0,7,7,30,7,7,35,MOVE_LEFT
2P,17,14,192,7,7,20,30,1,1,80,153.0,7,7,20,7,7,15,MOVE_LEFT
1P,18,21,199,7,7,25,15,1,0,85,89.0,7,7,25,7,7,30,NONE
2P,18,21,199,7,7,15,25,1,1,85,89.0,7,7,15,7,7,20,MOVE_RIGHT
1P,19,28,206,7,7,25,20,1,0,90,153.0,7,7,25,7,7,25,NONE
2P,19,28,206,7,7,20,25,1,1,90,153.0,7,7,20,7,7,15,MOVE_RIGHT
1P,20,35,213,7,7,25,25,1,0,95,153.0,7,7,25,7,7,25,MOVE_RIGHT
2P,20,35,213,7,7,25,25,1,1,95,153.0,7,7,25,7,7,20,MOVE_RIGHT
1P,21,42,220,7,7,30,30,1,0,100,153.0,7,7,30,7,7,25,MOVE_RIGHT
2P,21,42,220,7,7,30,30,1,1,100,153.0,7,7,30,7,7,25,MOVE_RIGHT
1P,22,49,227,7,7,35,35,1,0,105,153.0,7,7,35,7,7,30,MOVE_RIGHT
2P,22,49,227,7,7,35,35,1,1,105,153.0,7,7,35,7,7,30,MOVE_RIGHT
1P,23,56,234,7,7,40,40,1,0,110,153.0,7,7,40,7,7,35,MOVE_RIGHT
2P,23,56,234,7,7,40,40,1,1,110,153.0,7,7,40,7,7,35,MOVE_RIGHT
1P,24,63,241,7,7,45,45,1,0,115,153.0,7,7,45,7,7,40,MOVE_RIGHT
2P,24,63,241,7,7,45,45,1,1,115,153.0,7,7,45,7,7,40,MOVE_RIGHT
1P,25,70,248,7,7,50,50,1,0,120,153.0,7,7,50,7,7,45,MOVE_RIGHT
2P,25,70,248,7,7,50,50,1,1,120,153.0,7,7,50,7,7,45,MOVE_RIGHT
1P,26,77,255,7,7,55,55,1,0,125,153.0,7,7,55,7,7,50,MOVE_RIGHT
2P,26,77,255,7,7,55,55,1,1,125,153.0,7,7,55,7,7,50,MOVE_RIGHT
1P,27,84,262,7,7,60,60,1,0,130,153.0,7,7,60,7,7,55,MOVE_RIGHT
2P,27,84,262,7,7,60,60,1,1,130,153.0,7,7,60,7,7,55,MOVE_RIGHT
1P,28,91,269,7,7,65,65,1,0,135,153.0,7,7,65,7,7,60,MOVE_RIGHT
2P,28,91,269,7,7,65,65,1,1,135,153.0,7,7,65,7,7,60,MOVE_RIGHT
1P,29,98,276,7,7,70,70,1,0,140,153.0,7,7,70,7,7,65,MOVE_RIGHT
2P,29,98,276,7,7,70,70,1,1,140,153.0,7,7,70,7,7,65,MOVE_RIGHT
1P,30,105,283,7,7,75,75,1,0,145,153.0,7,7,75,7,7,70,MOVE_RIGHT
2P,30,105,283,7,7,75,75,1,1,145,153.0,7,7,75,7,7,70,MOVE_RIGHT
1P,31,112,290,7,7,80,80,1,0,150,153.0,7,7,80,7,7,75,MOVE_RIGHT
2P,31,112,290,7,7,80,80,1,1,150,153.0,7,7,80,7,7,75,MOVE_RIGHT
1P,32,119,297,7,7,85,85,1,0,155,153.0,7,7,85,7,7,80,MOVE_RIGHT
2P,32,119,297,7,7,85,85,1,1,155,153.0,7,7,85,7,7,80,MOVE_RIGHT
1P,33,126,304,7,7,90,90,1,0,160,153.0,7,7,90,7,7,85,MOVE_RIGHT
2P,33,126,304,7,7,90,90,1,1,160,153.0,7,7,90,7,7,85,MOVE_RIGHT
1P,34,133,311,7,7,95,95,1,0,165,153.0,7,7,95,7,7,90,MOVE_RIGHT
2P,34,133,311,7,7,95,95,1,1,165,153.0,7,7,95,7,7,90,MOVE_RIGHT
1P,35,140,318,7,7,100,100,1,0,170,153.0,7,7,100,7,7,95,MOVE_RIGHT
2P,35,140,318,7,7,100,100,1,1,170,153.0,7,7,100,7,7,95,MOVE_RIGHT
1P,54,113,375,-7,-7,135,85,1,0,75,187.0,-7,-7,135,-7,-7,140,MOVE_LEFT
2P,54,113,375,-7,-7,85,135,1,1,75,187.0,-7,-7,85,-7,-7,90,MOVE_LEFT
1P,55,106,368,-7,-7,130,80,1,0,70,187.0,-7,-7,130,-7,-7,135,MOVE_LEFT
2P,55,106,368,-7,-7,80,130,1,1,70,187.0,-7,-7,80,-7,-7,85,MOVE_LEFT
1P,56,99,361,-7,-7,125,75,1,0,65,187.0,-7,-7,125,-7,-7,130,MOVE_LEFT
2P,56,99,361,-7,-7,75,125,1,1,65,187.0,-7,-7,75,-7,-7,80,MOVE_LEFT
1P,57,92,354,-7,-7,120,70,1,0,60,187.0,-7,-7,120,-7,-7,125,MOVE_LEFT
2P,57,92,354,-7,-7,70,120,1,1,60,187.0,-7,-7,70,-7,-7,75,MOVE_LEFT
